run_at_utc,key_a,key_b,similarity,decision,threshold,n_members_a,n_members_b,independent_count_a,independent_count_b,headline_a,headline_b,novelty
2026-09-25T10:26:45.206067+00:00,681e4379932ddd45,28cc02ef15099364,0.489,kept_below_threshold,0.8,11,2,3,2,برگزاری دور جدید مذاکرات ایران و آمریکا در مسقط عمان,ایران نقشه راهی هفت‌روزه برای بازگشایی تنگه هرمز به ایالات متحده پیشنهاد کرد.,development
2026-09-25T10:26:45.206067+00:00,681e4379932ddd45,500e527e68ae636e,0.4484,kept_below_threshold,0.8,11,6,3,2,برگزاری دور جدید مذاکرات ایران و آمریکا در مسقط عمان,مفتی اعظم عربستان از سربازان خواست برای جنگ با حوثی‌ها جان خود را فدا کنند,development
2026-09-25T10:26:45.206067+00:00,681e4379932ddd45,9255ae23eaff1ec5,0.5796,kept_below_threshold,0.8,11,4,3,2,برگزاری دور جدید مذاکرات ایران و آمریکا در مسقط عمان,وزیران خارجه روسیه و ایران بر راهکار دیپلماتیک برای حل تنش‌ها توافق کردند,development
2026-09-25T10:26:45.206067+00:00,681e4379932ddd45,a369c0a348da0ffd,0.7517,kept_below_threshold,0.8,11,2,3,1,برگزاری دور جدید مذاکرات ایران و آمریکا در مسقط عمان,بحث وزیران خارجه ایران و مصر درباره تحولات منطقه‌ای در نیویورک,development
2026-09-25T10:26:45.206067+00:00,681e4379932ddd45,7fdfbd842d9fa917,0.6114,kept_below_threshold,0.8,11,1,3,1,برگزاری دور جدید مذاکرات ایران و آمریکا در مسقط عمان,امارات وارجنتين مذاکرات برای توافق شراکت اقتصادی جامع را آغاز کردند,development
2026-09-25T10:26:45.206067+00:00,681e4379932ddd45,5c8b8722f634aa56,0.548,kept_below_threshold,0.8,11,4,3,1,برگزاری دور جدید مذاکرات ایران و آمریکا در مسقط عمان,عقد آراغچی و لاوروف و ملباند دیدارهای دوجانبه در حاشیه مجمع عمومی سازمان ملل,development
2026-09-25T10:26:45.206067+00:00,681e4379932ddd45,1d9888cc229b8071,0.5194,kept_below_threshold,0.8,11,1,3,1,برگزاری دور جدید مذاکرات ایران و آمریکا در مسقط عمان,بحث ترامپ و الزیدی درباره سلاح گروه‌های عراقی و مهلت ۲۰۲۷,development
2026-09-25T10:26:45.206067+00:00,681e4379932ddd45,601d7eefc0290648,0.5303,kept_below_threshold,0.8,11,2,3,1,برگزاری دور جدید مذاکرات ایران و آمریکا در مسقط عمان,پزشکیان بر تعمیق همکاری با پاکستان و تسریع توافق با ارمنستان تأکید کرد,development
2026-09-25T10:26:45.206067+00:00,813ccdc36f389edc,500e527e68ae636e,0.4736,kept_below_threshold,0.8,11,6,5,2,عربستان، ترکیه و پاکستان نشست اضطراری نظامی برای مقابله با حمله حوثی‌ها برگزار می‌کنند,مفتی اعظم عربستان از سربازان خواست برای جنگ با حوثی‌ها جان خود را فدا کنند,development
2026-09-25T10:26:45.206067+00:00,813ccdc36f389edc,9255ae23eaff1ec5,0.438,kept_below_threshold,0.8,11,4,5,2,عربستان، ترکیه و پاکستان نشست اضطراری نظامی برای مقابله با حمله حوثی‌ها برگزار می‌کنند,وزیران خارجه روسیه و ایران بر راهکار دیپلماتیک برای حل تنش‌ها توافق کردند,development
2026-09-25T10:26:45.206067+00:00,813ccdc36f389edc,5c8b8722f634aa56,0.5465,kept_below_threshold,0.8,11,4,5,1,عربستان، ترکیه و پاکستان نشست اضطراری نظامی برای مقابله با حمله حوثی‌ها برگزار می‌کنند,عقد آراغچی و لاوروف و ملباند دیدارهای دوجانبه در حاشیه مجمع عمومی سازمان ملل,development
2026-09-25T10:26:45.206067+00:00,813ccdc36f389edc,1d9888cc229b8071,0.4578,kept_below_threshold,0.8,11,1,5,1,عربستان، ترکیه و پاکستان نشست اضطراری نظامی برای مقابله با حمله حوثی‌ها برگزار می‌کنند,بحث ترامپ و الزیدی درباره سلاح گروه‌های عراقی و مهلت ۲۰۲۷,development
2026-09-25T10:26:45.206067+00:00,f9d1ae25a5088f5a,591aa400d5f78136,0.4546,kept_below_threshold,0.8,3,6,3,2,سازمان ملل: غزه با شدیدترین بحران اقتصادی تاریخ مواجه است,دو سرباز اسرائیلی بر اثر انفجار پهپاد خودی در شمال غزه کشته شدند.,development
2026-09-25T10:26:45.206067+00:00,f9d1ae25a5088f5a,56bc7c4f59a92136,0.4024,kept_below_threshold,0.8,3,1,3,1,سازمان ملل: غزه با شدیدترین بحران اقتصادی تاریخ مواجه است,مقاطعه اروپایی و کمبود قطعات، تأخیر در عملیات غواصه اسرائیلی را موجب شد,development
2026-09-25T10:26:45.206067+00:00,f9d1ae25a5088f5a,abb3480d8c116368,0.4475,kept_below_threshold,0.8,3,3,3,0,سازمان ملل: غزه با شدیدترین بحران اقتصادی تاریخ مواجه است,ارتش اسرائیل تونل ۲ کیلومتری در جنوب غزه را تخریب کرد,development
2026-09-25T10:26:45.206067+00:00,28cc02ef15099364,9255ae23eaff1ec5,0.5486,kept_below_threshold,0.8,2,4,2,2,ایران نقشه راهی هفت‌روزه برای بازگشایی تنگه هرمز به ایالات متحده پیشنهاد کرد.,وزیران خارجه روسیه و ایران بر راهکار دیپلماتیک برای حل تنش‌ها توافق کردند,development
2026-09-25T10:26:45.206067+00:00,28cc02ef15099364,2516d7a751564225,0.4251,kept_below_threshold,0.8,2,7,2,1,ایران نقشه راهی هفت‌روزه برای بازگشایی تنگه هرمز به ایالات متحده پیشنهاد کرد.,فرودگاه‌های عراق پروازهای ایران را به دلیل تحریم‌ها متوقف کردند,development
