source_id,url,title,body,published_at_utc,date_only,lang
ajar,https://www.aljazeera.net/politics/2026/9/25/%d8%a7%d9%84%d9%85%d9%82%d8%a7%d8%b7%d8%b9%d8%a9-%d8%a7%d9%84%d8%a3%d9%88%d8%b1%d9%88%d8%a8%d9%8a%d8%a9-%d8%aa%d8%b6%d8%b1%d8%a8-%d8%a8%d8%ad%d8%b1%d9%8a%d8%a9?traffic_source=rss,من الموانئ إلى قطع الغيار.. المقاطعة الأوروبية تربك أسطول إسرائيل,"تسببت المقاطعة الأوروبية، ونقص قطع الغيار، ورفض الرسو في تأخير الغواصة الإسرائيلية ""دراغون""، مما كشف هشاشة سلاسل التوريد وحدود الاستقلال العسكري البحري لإسرائيل.",2026-09-25T07:00:02+00:00,0,ar
ajar,https://www.aljazeera.net/sport/2026/9/25/%d8%a5%d8%b0%d8%a7-%d8%b9%d8%af%d8%aa-%d8%a5%d9%84%d9%89-%d8%b1%d9%88%d8%b3%d9%8a%d8%a7-%d8%b3%d8%a3%d8%b9%d8%aa%d9%82%d9%84-%d8%b1%d8%ad%d9%84%d8%a9?traffic_source=rss,"""إذا عدت إلى روسيا سأعتقل"".. رحلة البحريني أرخانغيلسكي من اللجوء السياسي إلى منصة التتويج",أهدى السباح البالغ من العمر 21 عاما البحرين ذهبية سباق 50 مترا فراشة بدورة الألعاب الآسيوية في مركز طوكيو للألعاب المائية، بعدما سجل 22.91 ثانية,2026-09-25T07:00:00+00:00,0,ar
ajar,https://www.aljazeera.net/politics/2026/9/25/%d8%b3%d9%88%d8%a1-%d8%a7%d9%84%d8%aa%d8%ba%d8%b0%d9%8a%d8%a9-%d9%8a%d9%81%d8%aa%d9%83-%d8%a8%d8%a3%d8%b7%d9%81%d8%a7%d9%84-%d8%a7%d9%84%d8%b3%d9%88%d8%af%d8%a7%d9%86?traffic_source=rss,سوء التغذية يفتك بأطفال السودان والمنظمات تقف عاجزة,تحت سقوف من أقمشة بالية، يكابد نازحون سودانيون معاناة الجوع والنزوح، فيما يواجه أكثر من 20 مليونا انعداما حادا للأمن الغذائي وسط استمرار الحرب في السودان.,2026-09-25T06:54:10+00:00,0,ar
ajar,https://www.aljazeera.net/news/2026/9/25/%d8%a7%d9%84%d8%ae%d8%a7%d8%b1%d8%ac%d9%8a%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d8%b1%d9%8a%d9%83%d9%8a%d8%a9-%d9%84%d9%80%d8%b3%d9%88%d8%b1%d9%8a%d8%a7-%d8%a7%d9%84%d8%a2%d9%86?traffic_source=rss,"الخارجية الأمريكية لـ""سوريا الآن"".. التوغلات في سوريا لا توفر الأمن لإسرائيل والحل بترتيبات أمنية","مصدر في الخارجية الأمريكية يؤكد في تصريح لـ""سوريا الآن"" أن الضربات والتوغلات لا توفر أمنا دائما لسوريا أو إسرائيل، فيما قصفت المدفعية الإسرائيلية أطراف قرية الحميدية.",2026-09-25T06:46:05+00:00,0,ar
ajar,https://www.aljazeera.net/news/2026/9/25/%d8%ba%d8%b2%d8%a9-%d8%aa%d9%88%d8%a7%d8%ac%d9%87-%d9%81%d8%ac%d9%88%d8%a9-%d8%a5%d9%86%d8%b3%d8%a7%d9%86%d9%8a%d8%a9-%d9%85%d8%aa%d8%b2%d8%a7%d9%8a%d8%af%d8%a9-%d9%85%d8%b9?traffic_source=rss,غزة تواجه فجوة إنسانية متزايدة مع استجابة لا تتجاوز 25% من الاحتياجات,تتسع الاحتياجات الإنسانية في غزة مع استمرار القيود الإسرائيلية على دخول المساعدات، فيما لا تتجاوز الاستجابة المقدمة للسكان 25% من حجم الاحتياج الفعلي.,2026-09-25T06:42:05+00:00,0,ar
ajar,https://www.aljazeera.net/news/2026/9/25/%d8%a3%d8%b2%d9%85%d8%a9-%d8%ab%d9%82%d8%a9-%d8%a8%d9%8a%d9%86-%d8%a7%d9%84%d8%b7%d8%b1%d9%81%d9%8a%d9%86-%d9%83%d9%88%d8%a7%d9%84%d9%8a%d8%b3-%d8%a7%d9%84%d9%85%d9%81%d8%a7%d9%88%d8%b6%d8%a7%d8%aa?traffic_source=rss,أزمة ثقة بين الطرفين.. كواليس المفاوضات بين واشنطن وطهران في نيويورك,تتسارع المحادثات الأمريكية الإيرانية في نيويورك للتوصل إلى اتفاق مرحلي ينهي حربا استمرت 7 أشهر، عبر فتح مضيق هرمز مقابل رفع الحصار، وسط تمسك الطرفين بأوراق الضغط وانعدام الثقة.,2026-09-25T06:38:01+00:00,0,ar
ajar,https://www.aljazeera.net/opinions/2026/9/25/%d9%87%d9%83%d8%b0%d8%a7-%d8%aa%d9%81%d8%a7%d8%af%d8%aa-%d8%b3%d9%88%d8%b1%d9%8a%d8%a7-%d9%81%d8%ae%d8%a7%d8%ae-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84-%d8%a7%d9%84%d8%b5%d8%b9%d8%a8%d8%a9?traffic_source=rss,هكذا تفادت سوريا فخاخ إسرائيل الصعبة في واشنطن,تشهد العلاقات السورية الأمريكية تحولا بعد رفع العقوبات، إذ تسعى واشنطن إلى دعم الاستقرار ومكافحة الإرهاب، بينما تراهن دمشق على الاستثمارات والدعم الأمريكي لكبح الاعتداءات الإسرائيلية.,2026-09-25T06:35:32+00:00,0,ar
ajar,https://www.aljazeera.net/sport/2026/9/25/%d9%84%d8%af%d9%8a%d9%87-%d9%85%d8%a7-%d9%87%d9%88-%d8%a3%d9%81%d8%b6%d9%84-%d8%a8%d8%b1%d9%88%d9%86%d9%88-%d9%81%d8%b1%d9%86%d8%a7%d9%86%d8%af%d9%8a%d8%b2-%d9%8a%d8%b1%d8%af-%d8%b9%d9%84%d9%89?traffic_source=rss,"""لديه ما هو أفضل"".. برونو فرنانديز يرد على تصريحات جيسوس مدرب البرتغال",وظف جورجي جيسوس مدرب منتخب البرتغال لاعبه برونو فرنانديز بشكل مختلف بعض الشيء أثناء مباراة فريقه ضد ويلز في افتتاح مشواره ببطولة دوري الأمم الأوروبية 2026-2027.,2026-09-25T06:30:00+00:00,0,ar
ajar,https://www.aljazeera.net/news/2026/9/25/5261?traffic_source=rss,قوات الاحتلال الإسرائيلي تتوغل في وادي الرقاد بريف درعا الغربي,توغلت قوات من جيش الاحتلال الإسرائيلي في منطقة وادي الرقاد بريف درعا الغربي، وأطلقت أعيرة نارية تحذيرية بشكل عشوائي.,2026-09-25T06:10:27+00:00,0,ar
ajar,https://www.aljazeera.net/sport/2026/9/25/%d8%a3%d9%84%d9%83%d8%a7%d8%b1%d8%a7%d8%b2-%d9%8a%d8%af%d8%b9%d9%88-%d9%84%d8%a5%d9%86%d9%87%d8%a7%d8%a1-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d8%a7%d9%84%d8%a8%d8%b7%d9%88%d9%84%d8%a7%d8%aa?traffic_source=rss,"ألكاراز يدعو لإنهاء مباريات البطولات الكبرى ""قبل منتصف الليل""",دعا لاعب التنس الإسباني كارلوس ألكاراز إلى إنهاء مباريات البطولات الكبرى في التنس باكرا أكثر، بعد الخروج من بطولة أمريكا المفتوحة للتنس عقب مباراة ماراثونية أمام بن شيلتون.,2026-09-25T05:59:00+00:00,0,ar
