source_id,url,title,body,published_at_utc,date_only,lang
ajar,https://www.aljazeera.net/sport/2026/8/30/%d9%82%d8%a7%d8%b9%d8%af%d8%a9-%d8%a7%d9%84%d9%8060-%d8%ab%d8%a7%d9%86%d9%8a%d8%a9-%d8%aa%d8%ab%d9%8a%d8%b1-%d8%a7%d9%84%d9%81%d9%88%d8%b6%d9%89-%d9%88%d8%a7%d9%84%d8%ac%d8%af%d9%84-%d9%81%d9%8a?traffic_source=rss,قاعدة الـ60 ثانية تثير الفوضى والجدل في مباراة سوسييداد وإسبانيول,لا شك أن بعض التعديلات الجديدة في قانون التحكيم الكروي جاءت لتطور اللعبة أكثر، ومنها ما جاء للحد من إضاعة الوقت وإهدار الوقت الفعلي للاعب، لكن ما مدى الجاهزية لتطبيق هذه القوانين في الواقع؟,2026-08-30T13:36:54+00:00,0,ar
ajar,https://www.aljazeera.net/misc/2026/8/30/%d8%a7%d9%84%d8%b4%d8%a8%d8%a7%d8%a8-%d9%8a%d9%87%d8%b1%d8%a8%d9%88%d9%86-%d9%85%d9%86-%d8%a7%d9%84%d8%b2%d9%88%d8%a7%d8%ac-%d9%88%d8%a7%d9%84%d8%b5%d9%8a%d9%86?traffic_source=rss,الشباب يهربون من الزواج.. والصين تطاردهم به من البنك إلى المستشفى,توسع الصين خدمات تسجيل الزواج إلى أماكن غير مألوفة، من البنوك إلى المستشفيات، بالتزامن مع تراجع معدلات الزواج، في محاولة لتسهيل الإجراءات وتشجيع الشباب على الإقبال عليه.. فهل تنجح الخطة؟,2026-08-30T13:32:42+00:00,0,ar
ajar,https://www.aljazeera.net/lifestyle/2026/8/30/%d8%b1%d8%b4-%d8%a7%d9%84%d8%b9%d8%b2%d8%a7%d8%a8-%d8%a8%d9%80%d8%a7%d9%84%d9%82%d8%b1%d9%81%d8%a9-%d8%b9%d9%86%d8%af-%d8%b3%d9%86-25-%d8%aa%d9%82%d9%84%d9%8a%d8%af?traffic_source=rss,"رش العُزّاب بـ""القرفة"" عند سن 25.. تقليد غريب بالدانمارك يشعل المنصات","لم تسلم العزوبية في الدانمارك من صخب التقاليد المجتمعية، إذ أثار ""طقس القرفة"" المخصص لمن يبلغون 25 عاما دون زواج موجة تفاعل واسعة رصدها برنامج ""شبكات"".",2026-08-30T13:29:28+00:00,0,ar
bbc_en,https://www.bbc.co.uk/news/articles/c5ymvdm5520o?at_medium=RSS&amp;at_campaign=rss,Head teacher evacuated 900 children minutes before Nepal floods hit school,Rajendra Dawadi leapt into action after receiving warnings over waters heading towards his school.,2026-08-30T16:48:13+00:00,0,en
irna,https://en.irna.ir/news/86250337/Iran-s-envoy-delivers-Araghchi-s-written-message-to-Iraqi-foreign,Iran’s envoy delivers Araghchi’s written message to Iraqi foreign minister,"Tehran, IRNA - Iran's Ambassador to Iraq, Mohammad Kazem Al-e Sadegh, has delivered a written message from Foreign Minister Abbas Araghchi to his Iraqi counterpart, Fuad Hussein.",2026-08-30T16:52:32+00:00,0,en
tg_defenderdome,https://t.me/DefenderDome/22894,,"The United Kingdom Maritime Trade Operations (UKMTO) Center has just issued a warning after receiving a report last evening that a tanker was struck by an unknown projectile while transiting the Strait of Hormuz inbound approximately 12NM north of Khasab, Oman. There are no casualties or environmental impact. The location of the attack would indicate the vessel was struck while using the U.S. esta...",2026-08-30T16:36:34+00:00,0,en
tg_fighter_radar,https://t.me/fighter_radar/134953,,🔝 ❌ 🇮🇷 🔴 اظهارات سناتور تد کروز درباره ایران: من بارها از ترامپ و دولت او خواسته ام که به معترضان سلاح بدهند، تا مردم ایران، کردها را مسلح کنند و به معترضان اجازه دهند این رژیم را از قدرت براندازند. نه حضور سربازان آمریکایی در خاک ایران، بلکه خود مردم ایران باید این کار را انجام دهند. 📝 Fenrir 👑 @Fighter_Radar,2026-08-30T16:55:05+00:00,0,fa
tg_fighter_radar,https://t.me/fighter_radar/134952,,دزدی جمهوری اسلامی از عوارض گوشی و ماشین سود BMW از خودروی 740 حدود ۴۰۰۰ دلار؛ سود دولت ایران از عوارض و گمرک آن ۲۴۰ هزار دلار، یعنی ۶۰ برابر سازنده! سود اپل از هر آیفون 17 پرومکس حدود ۵۰۰ دلار؛ سود دولت فقط از رجیستری آن ۵۵۰ دلار! پس از سرنگونی رژیم جمهوری اسلامی تمام عوارض اضافی گوشی و ماشین خارجی حذف می شود. 📝 AmirF15 👑 @Fighter_Radar,2026-08-30T16:54:02+00:00,0,fa
tg_fighter_radar,https://t.me/fighter_radar/134951,,🔝 🔴 هواپیمای آمریکایی مدل CMV-22B Osprey که بر روی ناو هواپیمابر مستقر است، کد اضطراری 7700 را بر فراز خلیج عدن فعال کرده و به سمت صلاله، در کشور عمان، در حرکت است 📝 Fenrir 👑 @Fighter_Radar,2026-08-30T16:48:25+00:00,0,fa
tg_fighter_radar,https://t.me/fighter_radar/134950,,اصابت پهپاد FPV حزب الله به نزدیکی سرباز زن اسرائیل و تانک مرکاوا اپراتور های حزب الله همچنان ناشی هستند. 📝 AmirF15 👑 @Fighter_Radar,2026-08-30T16:42:03+00:00,0,fa
tg_fighter_radar,https://t.me/fighter_radar/134948,,حملات سنگین اسرائیل به جنوب لبنان 📝 AmirF15 👑 @Fighter_Radar,2026-08-30T16:36:03+00:00,0,fa
tg_iranian_militarism,https://t.me/Iranian_Militarism/90432,,بدون شرح... Join us | @Iranian_Militarism,2026-08-30T16:39:17+00:00,0,en
tg_tabzlive,https://t.me/tabzlive/100766,,"🇺🇸 🇮🇷 ⚡️ — Senator Ted Cruz on Iran: What I’ve been urging is for Trump and the Trump administration to arm the protesters, so the people of Iran, arm the Kurds and let the protesters remove this regime from power. Not American boots on the ground, but the…",2026-08-30T16:54:53+00:00,0,en
