cluster_key,fate,reason,n_members,sources,best_tier,category,claim_status,independent_count,score
9233fb01c43b8791,repeat_dropped,,1,state_dept_travel,1,,,,
18617f0a9f51e6b4,repeat_dropped,,4,aawsat|al_jazeera|al_manar|tg_wfwitness,2,,,,
4b05febf522befcc,irrelevant,,2,sky_news_arabia|tg_tweet_mardomi,2,,,,
063a98605b2a3d37,relevance_dropped,,1,walla,2,security,unconfirmed,1,10.885
2206433f268f069a,repeat_dropped,,1,haaretz,2,,,,
3f0e41386a122cf3,lang_dropped,,1,sky_news_arabia,2,military,unconfirmed,1,12.867
0e63a685d2712383,clickbait,,1,walla,2,,,,
85bb4b822da97fe0,irrelevant,,1,al_jazeera,2,,,,
b91967b688175e4f,irrelevant,,3,ajar|al_jazeera|tg_wfwitness,2,,,,
71e7519c5c4ec637,sent,,1,al_monitor,2,politics,unconfirmed,1,9.857
0d6c9e6aa1b0303c,unavailable,,1,walla,2,,,,
5ff2c2dc7e20dc97,unavailable,,2,aawsat|tg_iranian_militarism,2,,,,
33a1ef15df14f6df,unavailable,,2,aawsat|tg_irane_azad_news,2,,,,
aae06581dcfb1f11,unavailable,,1,aawsat,2,,,,
a28cd7774316ad29,unavailable,,1,al_jazeera,2,,,,
241bf9a13cf79851,unavailable,,1,mehr,2,,,,
c8931f8b3456a108,unavailable,,1,iran_international,2,,,,
9f047e55df5b2a4b,unavailable,,1,ajar,2,,,,
519b7a2a6cd8c05a,unavailable,,1,ajar,2,,,,
cbabab7829ce2dd0,unavailable,,1,ajar,2,,,,
5238d9935aa89247,unavailable,,1,ajar,2,,,,
e4383f53acbf7a41,unavailable,,1,ajar,2,,,,
16366b93c165b66e,unavailable,,1,ajar,2,,,,
df750e6d23e933ae,unavailable,,1,ajar,2,,,,
01f488ca2c8301ee,unavailable,,1,ajar,2,,,,
34c40986b3b4c774,unavailable,,1,ajar,2,,,,
b81b335a7b6d74bc,unavailable,,1,ajar,2,,,,
6bc87f9be0723046,unavailable,,1,ajar,2,,,,
2f9fa15253b9a13e,unavailable,,4,tg_tabzlive|tg_wfwitness,3,,,,
54570295f929fd94,unavailable,,2,tg_geopwatch|tg_wfwitness,3,,,,
48bf41733a99c4ff,unavailable,,1,tg_tabzlive,3,,,,
5ffd90f2c666665c,unavailable,,3,al_manar|tg_wfwitness,3,,,,
6581b284aa517586,unavailable,,1,tg_tabzlive,3,,,,
738e7cd5be477da0,unavailable,,1,osint613_a,3,,,,
e46d97368574a1e3,unavailable,,1,tg_iranian_militarism,3,,,,
f1822201a106d313,unavailable,,2,al_manar|tg_wfwitness,3,,,,
e39a51443f849562,unavailable,,1,al_manar,3,,,,
fe821be6002c6034,unavailable,,1,osint613_a,3,,,,
9a88499f76d92448,unavailable,,1,tg_geopwatch,3,,,,
7c06abb9eec94817,unavailable,,1,tg_wfwitness,3,,,,
