cluster_key,fate,reason,n_members,sources,best_tier,category,claim_status,independent_count,score
eb85ef022f3cb84c,irrelevant,,1,bbc_en,2,,,,
72e91896b8be2eb7,irrelevant,,2,ajar|tg_vira_university,2,,,,
ece6dc1f6e2cb5e2,sent,,1,maariv,2,military,unconfirmed,1,12.987
d98aa0600f13e594,relevance_dropped,,1,mee,2,security,unconfirmed,1,10.973
eb60996018465f31,repeat_dropped,,4,al_manar|sky_news_arabia|tg_padeshah_fxn|tg_rnintel,2,,,,
acf28ab932c70f4b,irrelevant,,5,ajar|al_manar|tg_fighter_radar|tg_irane_azad_news,2,,,,
d7635f3925c1a7a5,irrelevant,,1,maariv,2,,,,
6e2858a0e408a774,sent,,1,irna,2,politics,unconfirmed,1,9.938
531309153c341fd7,repeat_dropped,,14,ajar|al_manar|tg_fighter_radar|tg_padeshah_fxn|tg_rnintel|tg_tabzlive|tg_wfwitness,2,,,,
4cefe43a837f06ea,repeat_dropped,,2,maariv,2,,,,
6af0ccb96c1d2c0f,relevance_dropped,,1,al_jazeera,2,security,unconfirmed,1,10.867
49f77f9275e7f45a,unavailable,,1,al_jazeera,2,,,,
be57ff935c7cbb67,unavailable,,1,ajar,2,,,,
a62c3b2dea5a148c,unavailable,,1,ajar,2,,,,
99b4765de2cef558,unavailable,,1,ajar,2,,,,
764651fbd1bc3f75,unavailable,,5,osint613_a|tg_rnintel|tg_tabzlive|tg_wfwitness,3,,,,
0cbf78b56bedfb75,unavailable,,5,al_manar|tg_fighter_radar|tg_irane_azad_news|tg_minas_tirith,3,,,,
2bab756be5a3706f,unavailable,,1,osint613_a,3,,,,
f28ba10a8d032508,unavailable,,2,tg_esellco|tg_iranian_militarism,3,,,,
1deebe463d85063d,unavailable,,1,al_manar,3,,,,
3de6c343b204bff4,unavailable,,1,osint613_a,3,,,,
ed790e6ea10b7685,unavailable,,1,al_manar,3,,,,
2c6cdae7a9d39a01,unavailable,,2,al_manar|osint613_a,3,,,,
5e611408db8c200c,unavailable,,1,tg_geopolitics_prime,3,,,,
87ef6aa88f648596,unavailable,,3,tg_esellco|tg_padeshah_fxn,3,,,,
c9a49108eb4dafa5,unavailable,,1,tg_irane_azad_news,3,,,,
