cluster_key,fate,reason,n_members,sources,best_tier,category,claim_status,independent_count,score
fba4651b6dea2e20,irrelevant,,1,maariv,2,,,,
4abf1646383ef099,sent,,2,mee|sky_news_arabia,2,economy,likely,2,11.032
252540dcd44e0d23,relevance_dropped,,1,iran_international,2,security,unconfirmed,1,10.926
ea60c8d9c63fb449,clickbait,,1,tehran_times,2,,,,
84c2765ca2f1cf71,sent,,2,mee|tg_geopwatch,2,military,unconfirmed,1,13.019
11f98c2dd0e5e0bf,sent,,1,haaretz,2,security,unconfirmed,1,10.899
9d9d1a38f352d570,sent,,3,al_manar|sky_news_arabia|tg_minas_tirith,2,military,unconfirmed,1,13.085
49574a3005d5de57,sent,,1,tehran_times,2,military,unconfirmed,1,12.871
d09b2b25b7364a5d,irrelevant,,1,al_jazeera,2,,,,
e68c2a8d970b327c,sent,,1,ajar,2,security,unconfirmed,1,10.134
c69ce5c00aaba0e2,irrelevant,,1,ajar,2,,,,
2882b981382a6253,clickbait,,1,ajar,2,,,,
157ae84e9f6e7d88,sent,,1,ajar,2,politics,unconfirmed,1,9.100
274e1a9ae430757d,irrelevant,,1,ajar,2,,,,
8df1bea1ca14d6e1,repeat_dropped,,6,al_manar|tg_wfwitness,3,,,,
aeb0a038821f45b6,relevance_dropped,,2,al_manar|tg_irane_azad_news,3,security,rumour,0,7.078
7d4057990dc0c74b,irrelevant,,1,tg_geopwatch,3,,,,
691f71f7b91dd852,irrelevant,,1,tg_tabzlive,3,,,,
00c5ddcf6eea9862,sent,,2,tg_fighter_radar|tg_tabzlive,3,military,rumour,0,9.016
68f276aa6a818610,irrelevant,,1,tg_militarywave,3,,,,
1623008d74d8da06,irrelevant,,1,osint613_a,3,,,,
23a9174367fad730,irrelevant,,1,tg_tabzlive,3,,,,
ebbf7ccc6ec59ea9,sent,,1,osint613_a,3,military,rumour,0,8.875
67450e50dcece85c,clickbait,,1,tg_vira_university,3,,,,
e4743dff04d334b6,clickbait,,1,tg_geopolitics_prime,3,,,,
451a47280d44eb52,clickbait,,1,tg_geopolitics_prime,3,,,,
18766c2c890ed787,lead_only,,1,tg_tweet_mardomi,3,,,,
