cluster_key,fate,reason,n_members,sources,best_tier,category,claim_status,independent_count,score
1cf24cfcd4392b09,sent,,3,state_dept_travel,1,security,unconfirmed,1,9.200
57ccca568d748b50,sent,,1,state_dept_travel,1,security,unconfirmed,1,9.000
287d991e3328aec9,lang_dropped,,1,aawsat,2,military,unconfirmed,1,12.980
01b260e46f39c529,irrelevant,,2,al_jazeera|tg_wfwitness,2,,,,
806ceba938980190,repeat_dropped,,2,reuters_gnews|tg_wfwitness,2,,,,
6098c1fbf18f2415,sent,,1,al_jazeera,2,security,unconfirmed,1,10.964
fe4b3bfbd63b660c,sent,,1,walla,2,security,unconfirmed,1,10.922
64bae4d2d1481c03,repeat_dropped,,1,mee,2,,,,
cf940820a7e0377a,sent,,1,al_jazeera,2,politics,unconfirmed,1,9.899
974f5fc2f810aec0,irrelevant,,1,al_jazeera,2,,,,
543cb8f66f304ba7,irrelevant,,1,maariv,2,,,,
7ac4c423cabb13b6,irrelevant,,1,sky_news_arabia,2,,,,
79d3fb2c2cedf687,repeat_dropped,,1,irna,2,,,,
335e68e7f877f9d7,unavailable,,1,maariv,2,,,,
466cfbf7eafd4106,unavailable,,1,al_jazeera,2,,,,
50c1847c1fc8c6be,unavailable,,1,tehran_times,2,,,,
22c6d689b4184744,unavailable,,1,maariv,2,,,,
9f408b9ccdae9de3,unavailable,,1,aawsat,2,,,,
5159792a1d800b53,unavailable,,2,ajar|maariv,2,,,,
de2ed8dc8a072c7b,unavailable,,2,irna|mehr,2,,,,
a50d1431905e5460,unavailable,,1,maariv,2,,,,
2a72430728c0bb9b,unavailable,,1,maariv,2,,,,
eb554a42b9ab9512,unavailable,,2,al_manar|haaretz,2,,,,
c2fbe336b9d7daa2,unavailable,,1,bbc_en,2,,,,
a8c46568135bff63,unavailable,,1,al_jazeera,2,,,,
4b0f883d66ad615f,unavailable,,1,walla,2,,,,
99130581dc7c129c,unavailable,,1,al_jazeera,2,,,,
221fdad242b6ed86,unavailable,,1,ajar,2,,,,
351c91810404bc15,unavailable,,1,ajar,2,,,,
59b7edaa82e05cb5,unavailable,,1,ajar,2,,,,
09b23cee07f63275,unavailable,,1,ajar,2,,,,
1d1b1bb67492e141,unavailable,,1,ajar,2,,,,
d6006071cd108ddf,unavailable,,1,tg_wfwitness,3,,,,
404349d80467155c,unavailable,,6,al_manar|tg_fighter_radar|tg_irane_azad_news|tg_iranian_militarism,3,,,,
0dd12aad6186c29a,unavailable,,2,tg_fighter_radar|tg_irane_azad_news,3,,,,
6f46a5778de977ce,unavailable,,1,tg_wfwitness,3,,,,
957240c567cf079f,unavailable,,1,tg_iranian_militarism,3,,,,
f9695e487750f2bd,unavailable,,1,tg_wfwitness,3,,,,
5a28e535dba2bac8,unavailable,,1,tg_iranian_militarism,3,,,,
a91d69d8efae5e5f,unavailable,,1,tg_wfwitness,3,,,,
